제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
2022년 제2차 대졸수준 신입사원 선발,한국수력원자력(주),"사업관리,경영.회계.사무,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",정규직,"학력무관,중졸이하,고졸,대졸(2~3년),대졸(4년)",신입,"부산,울산,경기,강원,충북,경북,경남,전남,전북",150,22.09.29 ~ 22.10.14
2022년 한국도로공사 전문연구원(데이터분석 분야) 채용 공고,한국도로공사,"정보통신,연구",무기계약직,"대졸(4년),석사,박사",신입+경력,경기,2,22.09.29 ~ 22.10.13
2022년도 신입사원 채용 공고,한국농어촌공사,"사업관리,경영.회계.사무,건설,기계,전기.전자,정보통신,환경.에너지.안전","정규직,무기계약직",학력무관,신입,"인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",370,22.09.29 ~ 22.10.13
한국의료분쟁조정중재원 2022년 제6차 직원채용 공고,한국의료분쟁조정중재원,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,보건.의료,정보통신","정규직,무기계약직,비정규직","학력무관,석사",신입+경력,서울,11,22.09.29 ~ 22.10.13
한국형사·법무정책연구원 2022년도 제33차 채용공고 [행정직],한국형사·법무정책연구원,정보통신,정규직,대졸(4년),신입,서울,1,22.09.28 ~ 22.10.13
[한국수자원공사] 경북지역협력단 특수직(울릉SWM_건설사업) 채용 공고,한국수자원공사,"건설,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경북,2,22.09.28 ~ 22.10.05
[한국수자원공사] 경북지역협력단(군위군/포항시) 특수직(지방상수도 현대화사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경북,3,22.09.28 ~ 22.10.05
2022년 일반직 및 별정직 채용,한국가스공사,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,보건.의료,영업판매,기계,화학,전기.전자,정보통신,환경.에너지.안전",정규직,"학력무관,고졸,대졸(4년),석사",신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",83,22.09.28 ~ 22.10.17
(22-0-16) KPS사업본부 특수사업직 3차 채용,한국항공우주연구원,"사업관리,경영.회계.사무,교육.자연.사회과학,기계,전기.전자,정보통신,연구",비정규직,"석사,박사",신입+경력,대전,6,22.09.28 ~ 22.10.12
(22-0-15) SBAS사업단 특수사업직 3차 채용,한국항공우주연구원,"사업관리,전기.전자,정보통신,연구",비정규직,"석사,박사",신입+경력,대전,1,22.09.28 ~ 22.10.12
(22-0-14) 2022년도 4분기 1차 별정직(유기계약직) 채용,한국항공우주연구원,"사업관리,건설,기계,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,"대졸(4년),석사,박사",신입+경력,"대전,전남",4,22.09.28 ~ 22.10.12
2022년도 수시(6차) UNIST 전임교수 초빙(산업공학과),울산과학기술원,"교육.자연.사회과학,정보통신,연구",정규직,박사,신입+경력,울산,2,22.09.27 ~ 23.05.31
한전KDN(주) 광주전라제주지역본부 직할 미터링사업팀 『AMI분야 업무위탁용역』 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,광주,7,22.09.27 ~ 22.10.11
2022년도 2차 계약직(대체인력) 채용 재공고,한국고용정보원,"정보통신,연구",비정규직,"학력무관,석사",신입+경력,충북,4,22.09.27 ~ 22.10.07
한전KDN(주) 광주전라제주지역본부직할 일용근로자(장애인) 채용공고,한전KDN,"경영.회계.사무,전기.전자,정보통신",비정규직,학력무관,신입+경력,광주,2,22.09.27 ~ 22.10.03
한전KDN(주) 경북사업처 구미지사 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,2,22.09.27 ~ 22.10.11
2022년도 하반기 국민건강보험공단 신규직원(일반ㆍ강원인재) 채용 공고,국민건강보험공단,"경영.회계.사무,보건.의료,사회복지.종교,정보통신",정규직,"학력무관,고졸",신입,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",257,22.09.27 ~ 22.10.11
[한국수자원공사] 수도권지역협력단 현대화사업 특수직(기술관리_건설사업) 채용 공고(재공고),한국수자원공사,"사업관리,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,경기,1,22.09.27 ~ 22.10.06
"2022년도 하반기 한국산림복지진흥원 정규직(5, 6급) 채용 공고",한국산림복지진흥원,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,이용.숙박.여행.오락.스포츠,전기.전자,정보통신,환경.에너지.안전,농림어업",정규직,"학력무관,고졸",신입,"대전,울산,경기,강원,충남,충북,경북,전남",18,22.09.27 ~ 22.10.13
2022년 하반기 경력직 공개채용,한국전기안전공사,"보건.의료,건설,기계,전기.전자,정보통신,환경.에너지.안전,연구",정규직,학력무관,경력,"대전,대구,광주,강원,전북",13,22.09.26 ~ 22.10.11
2022년 한국지식재산연구원 제4회 채용 공고,한국지식재산연구원,"사업관리,경영.회계.사무,법률.경찰.소방.교도.국방,정보통신,연구","비정규직,청년인턴(체험형)","학력무관,대졸(4년)",신입+경력,서울,3,22.09.23 ~ 22.10.08
2022년 체험형 청년인턴(장애인) 채용 공고,정보통신산업진흥원,"사업관리,경영.회계.사무,정보통신",청년인턴(체험형),학력무관,신입,충북,2,22.09.23 ~ 22.10.11
2022년 제4차 기간제 직원 채용,나노종합기술원,"사업관리,전기.전자,정보통신,연구",비정규직,대졸(4년),신입+경력,대전,9,22.09.23 ~ 22.10.07
"우체국물류지원단 2022년 2차 전문 계약직(물류연구, 정보화, 홍보) 채용 공고",(재)우체국물류지원단,"사업관리,경영.회계.사무,정보통신",비정규직,학력무관,경력,서울,3,22.09.23 ~ 22.10.07
2022년 하반기 직원 채용,한국저작권위원회,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,문화.예술.디자인.방송,정보통신","정규직,무기계약직,비정규직",학력무관,신입+경력,"서울,경남",8,22.09.22 ~ 22.10.07
"2022년 9월 KAIST 기간제 근로자(연수연구원, 위촉연구원) 모집 공고",한국과학기술원,"경영.회계.사무,교육.자연.사회과학,보건.의료,건설,기계,재료,화학,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,"대졸(4년),석사,박사",신입+경력,대전,20,22.09.21 ~ 22.10.06
2022년도 수시(5차) UNIST 전임교수 초빙(컴퓨터공학과 추가),울산과학기술원,"교육.자연.사회과학,정보통신,연구",정규직,박사,신입+경력,울산,2,22.09.21 ~ 23.06.30
한전KDN(주) 대전충청지역본부 AMI분야 작업원 추가 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"대전,충남,세종",9,22.09.21 ~ 22.10.05
한국투자공사 2022년 제6차 경력직원 채용,한국투자공사,"경영.회계.사무,금융.보험,정보통신",정규직,학력무관,경력,서울,7,22.09.21 ~ 22.10.12
전력연구원 2022년도 제3차 비정규직(위촉연구원) 채용공고,한국전력공사,"기계,재료,화학,전기.전자,정보통신,환경.에너지.안전,연구",비정규직,"석사,박사",신입+경력,"대전,전남",55,22.09.21 ~ 22.10.06
한전KDN 경기강원지역본부 직할 배전분야 현장작업원 모집 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,2,22.09.20 ~ 22.10.04
한전KDN 경남사업처 WI-SUN 보강공사 및 5-1차 AMI통신망 시설공사 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,3,22.09.20 ~ 22.09.24
2022년 대한민국 남극과학기지 월동연구대(시설관리직) 채용 2차 재공고(~10.4),극지연구소,"기계,전기.전자,정보통신",비정규직,학력무관,경력,"인천,해외",2,22.09.20 ~ 22.10.04
2022년도 제8회 현장 기간제 사원 공개경쟁채용 공고,코레일테크(주),"경영.회계.사무,경비.청소,건설,전기.전자,정보통신",비정규직,"학력무관,고졸",신입+경력,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북",166,22.09.20 ~ 22.10.04
2022년 제6차 본사 기간제사원 채용모집 공고,코레일테크(주),"경영.회계.사무,정보통신",비정규직,"학력무관,대졸(4년)",신입+경력,"대전,대구",4,22.09.20 ~ 22.10.04
2022년 2차 위촉직 근로자 채용 공고,정보통신산업진흥원,"사업관리,정보통신",비정규직,학력무관,신입+경력,"서울,경기,충북",14,22.09.20 ~ 22.10.05
한전KDN(주) 경북사업처 AMI분야 아르바이트 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,1,22.09.20 ~ 22.10.04
한전KDN(주) 대전충청지역본부 천안지사 배전분야 작업원 모집 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"대전,충남,충북,세종",2,22.09.19 ~ 22.10.03
한전KDN(주) 부산울산경남지역본부 직할 울산지사 AMI분야 작업원 고용공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,울산,14,22.09.19 ~ 22.10.03
[한국수자원공사] 진도수도지사 실무직(수탁운영_지방상수도 시설운영) 채용 공고(지역제한채용),한국수자원공사,"건설,기계,전기.전자,정보통신,환경.에너지.안전",무기계약직,학력무관,신입+경력,전남,3,22.09.19 ~ 22.09.26
[제2022-23호] 2022년도 제8차 한국핵융합에너지연구원 비정규직 채용 공고,한국핵융합에너지연구원,"전기.전자,정보통신",비정규직,학력무관,신입+경력,대전,2,22.09.16 ~ 22.09.30
(제2022-4호) 아동권리보장원 직원 채용,아동권리보장원,"사업관리,법률.경찰.소방.교도.국방,정보통신",정규직,학력무관,신입+경력,서울,24,22.09.16 ~ 22.09.30
한전KDN(주) 경북사업처 배전공가 작업원 모집,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,3,22.09.16 ~ 22.09.30
한전KDN(주) 광주전라제주지역본부 직할 배전사업팀 배전공가 시설내역 현장조사 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,"광주,전남",1,22.09.16 ~ 22.09.30
한국장애인고용공단 직원 채용 공고,한국장애인고용공단,"운전.운송,기계,전기.전자,정보통신","정규직,무기계약직,청년인턴(채용형)","학력무관,석사,박사",신입+경력,"서울,경기",5,22.09.15 ~ 22.09.30
계약직 통신기사(시설팀) 직원 채용 재공고,국립중앙의료원,"보건.의료,정보통신",비정규직,학력무관,신입+경력,서울,1,22.09.15 ~ 22.09.22
2022년 한국항로표지기술원 직원(기간제 계약직) 채용 2차 공고,한국항로표지기술원,정보통신,비정규직,"학력무관,대졸(2~3년),대졸(4년),석사",신입+경력,세종,1,22.09.15 ~ 22.10.03
한전KDN(주) 경남사업처 배전공가 일용원 채용,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,1,22.09.15 ~ 22.09.21
한전KDN(주) 경북사업처 배전분야 작업원 모집 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경북,1,22.09.15 ~ 22.09.29
KAIST 설명가능 인공지능연구센터 연구교원 채용 공고,한국과학기술원,"사업관리,전기.전자,정보통신,연구",비정규직,박사,신입+경력,경기,2,22.09.14 ~ 22.09.29
2022년 4차 KOICA 기간제근로자 채용,한국국제협력단,"사업관리,경영.회계.사무,정보통신,환경.에너지.안전",비정규직,"학력무관,대졸(4년),석사,박사",신입+경력,경기,6,22.09.14 ~ 22.09.28
2022년도 한전KDN 제2차 국가보훈대상자 채용,한전KDN,"전기.전자,정보통신",정규직,학력무관,신입,"서울,인천,대전,대구,부산,광주,울산,경기,강원,충남,충북,경북,경남,전남,전북,제주,세종",5,22.09.14 ~ 22.09.29
한전KDN 충북사업처 제천지사 배전공가 시설내역조사 작업원 모집 공고,한전KDN,정보통신,비정규직,학력무관,신입+경력,충북,2,22.09.16 ~ 22.09.30
한국에너지공단 신입직원 채용 공고,한국에너지공단,"경영.회계.사무,건설,기계,화학,전기.전자,정보통신,환경.에너지.안전",정규직,학력무관,신입+경력,울산,55,22.09.14 ~ 22.09.29
[한국수자원공사](재공고)전남지역협력단 곡성현대화사업소 특수직(기술관리_건설사업) 채용 공고,한국수자원공사,"건설,기계,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입+경력,전남,1,22.09.14 ~ 22.09.21
한전KDN 경남사업처 진주지사 5-1차 AMI통신망 시설공사 일용근로자 채용 공고,한전KDN,"전기.전자,정보통신",비정규직,학력무관,신입+경력,경남,9,22.09.13 ~ 22.09.27
"[한국수자원공사] 울산권지사,경남서부권지사(사천) 실무직(배출수 설비운영) 채용 공고",한국수자원공사,"기계,화학,전기.전자,정보통신,환경.에너지.안전",무기계약직,학력무관,신입+경력,"울산,경남",3,22.09.13 ~ 22.09.20
"[한국수자원공사] 봉화수도관리단, 청송권지사 실무직(수탁운영_지방상수도시설운영) 채용 공고(지역제한채용)",한국수자원공사,"건설,화학,정보통신,환경.에너지.안전",무기계약직,학력무관,신입+경력,경북,2,22.09.13 ~ 22.09.20
2022년도 예금보험공사 하반기 신입직원 채용안내,예금보험공사,"경영.회계.사무,금융.보험,정보통신",정규직,"학력무관,고졸",신입,서울,30,22.09.13 ~ 22.09.27
"한국문화정보원 2022년도 하반기 2차 직원(정규직(일반직 및 무기직), 한시적비정규직, 육아휴직대체)채용",한국문화정보원,"사업관리,경영.회계.사무,정보통신","정규직,무기계약직,비정규직","고졸,대졸(2~3년),대졸(4년),석사",신입+경력,"서울,대전",8,22.09.13 ~ 22.09.28
